,node_ids,timestamps,node_type_id
131,10500.0,270.30000000012717,Pyr in SP layer
132,10650.0,214.80000000011455,Pyr in SP layer
133,10650.0,381.4000000001524,Pyr in SP layer
134,10650.0,448.5000000001677,Pyr in SP layer
135,11050.0,218.60000000011544,Pyr in SP layer
136,11150.0,327.80000000014024,Pyr in SP layer
137,11200.0,222.90000000011642,Pyr in SP layer
138,11200.0,276.80000000012865,Pyr in SP layer
139,11200.0,340.7000000001432,Pyr in SP layer
140,11350.0,340.6000000001432,Pyr in SP layer
141,11400.0,139.80000000009753,Pyr in SP layer
142,11400.0,213.00000000011417,Pyr in SP layer
143,11400.0,324.20000000013937,Pyr in SP layer
144,11450.0,141.60000000009794,Pyr in SP layer
145,12100.0,204.10000000011212,Pyr in SP layer
146,12150.0,215.50000000011474,Pyr in SP layer
147,12300.0,446.8000000001673,Pyr in SP layer
148,12650.0,335.70000000014204,Pyr in SP layer
149,12700.0,141.10000000009782,Pyr in SP layer
150,12800.0,216.4000000001149,Pyr in SP layer
151,12850.0,141.70000000009796,Pyr in SP layer
152,12950.0,494.70000000017825,Pyr in SP layer
153,13100.0,453.2000000001688,Pyr in SP layer
154,13300.0,215.40000000011472,Pyr in SP layer
155,13350.0,139.40000000009744,Pyr in SP layer
156,13400.0,271.60000000012747,Pyr in SP layer
157,13800.0,213.70000000011436,Pyr in SP layer
158,13800.0,267.60000000012656,Pyr in SP layer
159,13800.0,381.5000000001525,Pyr in SP layer
160,13950.0,140.50000000009769,Pyr in SP layer
161,13950.0,217.90000000011528,Pyr in SP layer
162,13950.0,270.50000000012716,Pyr in SP layer
163,14000.0,202.50000000011173,Pyr in SP layer
164,14000.0,266.1000000001262,Pyr in SP layer
165,14000.0,321.8000000001389,Pyr in SP layer
166,14000.0,381.2000000001524,Pyr in SP layer
167,14000.0,451.70000000016836,Pyr in SP layer
168,14100.0,213.9000000001144,Pyr in SP layer
169,14100.0,268.30000000012666,Pyr in SP layer
170,14200.0,391.4000000001547,Pyr in SP layer
171,15250.0,447.8000000001675,Pyr in SP layer
172,15450.0,267.4000000001265,Pyr in SP layer
173,15550.0,331.80000000014115,Pyr in SP layer
174,15550.0,379.30000000015195,Pyr in SP layer
175,15650.0,379.0000000001519,Pyr in SP layer
176,15700.0,383.6000000001529,Pyr in SP layer
177,15900.0,142.3000000000981,Pyr in SP layer
178,15900.0,213.9000000001144,Pyr in SP layer
179,15900.0,444.70000000016677,Pyr in SP layer
180,16050.0,139.00000000009734,Pyr in SP layer
181,16050.0,324.0000000001394,Pyr in SP layer
182,16300.0,216.10000000011485,Pyr in SP layer
183,16450.0,216.00000000011485,Pyr in SP layer
184,16500.0,322.400000000139,Pyr in SP layer
185,16500.0,374.4000000001509,Pyr in SP layer
186,16500.0,436.30000000016486,Pyr in SP layer
187,16550.0,214.5000000001145,Pyr in SP layer
188,16550.0,371.00000000015007,Pyr in SP layer
189,16750.0,381.8000000001525,Pyr in SP layer
190,16900.0,269.00000000012693,Pyr in SP layer
191,17100.0,382.2000000001526,Pyr in SP layer
192,17450.0,448.6000000001677,Pyr in SP layer
193,17500.0,279.1000000001292,Pyr in SP layer
194,17700.0,393.0000000001551,Pyr in SP layer
195,17700.0,454.00000000016894,Pyr in SP layer
196,17750.0,141.5000000000979,Pyr in SP layer
197,17750.0,213.20000000011424,Pyr in SP layer
198,17750.0,323.2000000001392,Pyr in SP layer
199,17750.0,386.60000000015367,Pyr in SP layer
200,17950.0,388.100000000154,Pyr in SP layer
201,18000.0,142.3000000000981,AAC in SP layer
202,18000.0,211.60000000011382,AAC in SP layer
203,18000.0,217.90000000011528,AAC in SP layer
204,18000.0,269.2000000001269,AAC in SP layer
205,18000.0,317.3000000001378,AAC in SP layer
206,18000.0,329.50000000014063,AAC in SP layer
207,18000.0,380.4000000001522,AAC in SP layer
208,18000.0,410.70000000015915,AAC in SP layer
209,18000.0,449.50000000016786,AAC in SP layer
210,18050.0,219.30000000011557,PV in SP layer
211,18100.0,146.50000000009902,PV in SP layer
212,18100.0,217.30000000011518,PV in SP layer
213,18150.0,145.10000000009873,PV in SP layer
214,18150.0,216.60000000011502,PV in SP layer
215,18150.0,272.3000000001276,PV in SP layer
216,18150.0,385.1000000001533,PV in SP layer
217,18150.0,449.800000000168,PV in SP layer
218,18200.0,218.20000000011532,PV in SP layer
219,18200.0,273.20000000012783,PV in SP layer
220,18250.0,144.30000000009858,PV in SP layer
221,18250.0,217.4000000001152,PV in SP layer
222,18250.0,271.1000000001273,PV in SP layer
223,18250.0,327.70000000014016,PV in SP layer
224,18250.0,409.70000000015887,PV in SP layer
225,18250.0,497.10000000017874,PV in SP layer
226,0.0,855.5999999998697,AAC in SO layer
227,0.0,956.499999999778,AAC in SO layer
228,50.0,506.90000000018097,OLM in SO layer
229,50.0,529.9000000001657,OLM in SO layer
230,50.0,547.30000000015,OLM in SO layer
231,50.0,561.2000000001374,OLM in SO layer
232,50.0,569.0000000001303,OLM in SO layer
233,50.0,575.7000000001243,OLM in SO layer
234,50.0,585.1000000001156,OLM in SO layer
235,50.0,598.2000000001037,OLM in SO layer
236,50.0,614.5000000000889,OLM in SO layer
237,50.0,623.0000000000813,OLM in SO layer
238,50.0,650.5000000000563,OLM in SO layer
239,50.0,666.5000000000416,OLM in SO layer
240,50.0,680.2000000000291,OLM in SO layer
241,50.0,698.900000000012,OLM in SO layer
242,50.0,715.3999999999971,OLM in SO layer
243,50.0,728.0999999999857,OLM in SO layer
244,50.0,736.9999999999776,OLM in SO layer
245,50.0,744.6999999999706,OLM in SO layer
246,50.0,755.0999999999609,OLM in SO layer
247,50.0,766.099999999951,OLM in SO layer
248,50.0,773.5999999999443,OLM in SO layer
249,50.0,790.0999999999292,OLM in SO layer
250,50.0,800.0999999999202,OLM in SO layer
251,50.0,812.8999999999085,OLM in SO layer
252,50.0,826.7999999998958,OLM in SO layer
253,50.0,838.0999999998855,OLM in SO layer
254,50.0,846.7999999998776,OLM in SO layer
255,50.0,854.4999999998706,OLM in SO layer
256,50.0,864.6999999998613,OLM in SO layer
257,50.0,876.9999999998503,OLM in SO layer
258,50.0,889.7999999998385,OLM in SO layer
259,50.0,901.7999999998276,OLM in SO layer
260,50.0,911.2999999998191,OLM in SO layer
261,50.0,920.3999999998108,OLM in SO layer
262,50.0,934.199999999798,OLM in SO layer
263,50.0,951.7999999997819,OLM in SO layer
264,50.0,963.0999999997721,OLM in SO layer
265,50.0,982.3999999997543,OLM in SO layer
266,50.0,997.6999999997405,OLM in SO layer
267,100.0,502.3000000001799,OLM in SO layer
268,100.0,547.0000000001503,OLM in SO layer
269,100.0,561.7000000001369,OLM in SO layer
270,100.0,570.7000000001287,OLM in SO layer
271,100.0,720.0999999999929,OLM in SO layer
272,100.0,733.199999999981,OLM in SO layer
273,100.0,773.3999999999443,OLM in SO layer
274,100.0,832.8999999998903,OLM in SO layer
275,100.0,870.4999999998561,OLM in SO layer
276,100.0,893.0999999998355,OLM in SO layer
277,100.0,903.1999999998263,OLM in SO layer
278,100.0,951.4999999997824,OLM in SO layer
279,100.0,989.6999999997477,OLM in SO layer
280,150.0,506.5000000001809,PV in SO layer
281,150.0,621.000000000083,PV in SO layer
282,150.0,680.1000000000292,PV in SO layer
283,150.0,736.1999999999782,PV in SO layer
284,150.0,785.3999999999335,PV in SO layer
285,150.0,833.5999999998896,PV in SO layer
286,150.0,849.8999999998747,PV in SO layer
287,150.0,897.6999999998312,PV in SO layer
288,150.0,927.0999999998047,PV in SO layer
289,150.0,958.2999999997763,PV in SO layer
290,200.0,621.000000000083,Pyr in SP layer
291,250.0,681.8000000000278,Pyr in SP layer
292,300.0,909.4999999998206,Pyr in SP layer
293,600.0,908.6999999998213,Pyr in SP layer
294,650.0,831.3999999998916,Pyr in SP layer
295,900.0,962.4999999997723,Pyr in SP layer
296,1050.0,738.599999999976,Pyr in SP layer
297,1050.0,843.2999999998807,Pyr in SP layer
298,1100.0,899.19999999983,Pyr in SP layer
299,1100.0,963.8999999997712,Pyr in SP layer
300,1150.0,588.4000000001126,Pyr in SP layer
301,1150.0,733.4999999999808,Pyr in SP layer
302,1150.0,963.4999999997716,Pyr in SP layer
303,1400.0,908.4999999998216,Pyr in SP layer
304,1450.0,568.0000000001312,Pyr in SP layer
305,1550.0,511.500000000182,Pyr in SP layer
306,1550.0,617.8000000000859,Pyr in SP layer
307,1550.0,680.6000000000288,Pyr in SP layer
308,1550.0,961.1999999997736,Pyr in SP layer
309,1750.0,913.2999999998171,Pyr in SP layer
310,1800.0,804.3999999999162,Pyr in SP layer
311,1800.0,908.6999999998213,Pyr in SP layer
312,1850.0,964.8999999997702,Pyr in SP layer
313,2400.0,840.0999999998837,Pyr in SP layer
314,2650.0,965.0999999997699,Pyr in SP layer
315,2700.0,504.50000000018036,Pyr in SP layer
316,2700.0,574.4000000001254,Pyr in SP layer
317,2700.0,621.9000000000823,Pyr in SP layer
318,2700.0,692.1000000000183,Pyr in SP layer
319,2700.0,735.5999999999788,Pyr in SP layer
320,2700.0,842.0999999998819,Pyr in SP layer
321,2700.0,897.5999999998314,Pyr in SP layer
322,2700.0,962.9999999997721,Pyr in SP layer
323,2750.0,736.9999999999776,Pyr in SP layer
324,2750.0,849.8999999998747,Pyr in SP layer
325,2750.0,963.9999999997709,Pyr in SP layer
326,2800.0,771.0999999999465,Pyr in SP layer
327,3100.0,831.1999999998918,Pyr in SP layer
328,3150.0,623.8000000000803,Pyr in SP layer
329,3450.0,771.2999999999463,Pyr in SP layer
330,3850.0,960.2999999997743,Pyr in SP layer
331,4050.0,854.1999999998709,Pyr in SP layer
332,4300.0,728.8999999999849,Pyr in SP layer
333,4350.0,506.0000000001808,Pyr in SP layer
334,4350.0,776.0999999999418,Pyr in SP layer
335,4500.0,565.8000000001333,Pyr in SP layer
336,4600.0,618.7000000000852,Pyr in SP layer
337,4650.0,512.100000000182,Pyr in SP layer
338,4650.0,911.7999999998184,Pyr in SP layer
339,4700.0,514.0000000001803,Pyr in SP layer
340,4800.0,904.7999999998246,Pyr in SP layer
341,5150.0,575.1000000001247,Pyr in SP layer
342,5200.0,500.5000000001795,Pyr in SP layer
343,5250.0,503.1000000001801,Pyr in SP layer
344,5250.0,839.5999999998842,Pyr in SP layer
345,5300.0,577.3000000001227,Pyr in SP layer
346,5300.0,621.6000000000824,Pyr in SP layer
347,5400.0,589.7000000001115,Pyr in SP layer
348,5400.0,853.9999999998711,Pyr in SP layer
349,5400.0,905.7999999998241,Pyr in SP layer
